Barrio,Tipo de Inmueble,Estado,Antigüedad,Área Construida (m2),Área Privada (m2),Estrato,Baños,Habitaciones,Parqueaderos,Piso N°,Barrio_clean,Barrio_group,Piso_cat
La pilarica,Apartamento,Usado,16 a 30 años,50.0,50.0,4.0,2,2,0,2,LA PILARICA,LA PILARICA,2
Vía Las Palmas,Apartamento,Usado,1 a 8 años,94.0,94.0,6.0,3,3,2,2,VIA LAS PALMAS,VIA LAS PALMAS,missing
La candelaria,Apartamento,Usado,más de 30 años,52.0,52.0,4.0,1,1,0,9,LA CANDELARIA,LA CANDELARIA,3+
Altos del poblado,Apartamento,Usado,1 a 8 años,13000.0,13000.0,5.0,3,3,1,5,ALTOS DEL POBLADO,ALTOS DEL POBLADO,missing
Centro,Apartaestudio,Usado,16 a 30 años,35.0,35.0,3.0,1,1,0,1,CENTRO,CENTRO,1
Lorena,Casa,Usado,1 a 8 años,120.0,120.0,4.0,2,4,0,1,LORENA,LORENA,1
Laureles,Apartamento,Usado,16 a 30 años,115.0,115.0,5.0,2,3,1,4,LAURELES,LAURELES,missing
Buenos aires,Apartamento,Usado,más de 30 años,80.0,80.0,4.0,2,2,0,2,BUENOS AIRES,BUENOS AIRES,missing
Laureles,Casa,Usado,1 a 8 años,210.0,210.0,5.0,3,3,0,1,LAURELES,LAURELES,missing
Las palmas,Apartamento,Usado,1 a 8 años,100.0,100.0,5.0,2,2,0,8,LAS PALMAS,LAS PALMAS,missing
Robledo,Apartamento,Usado,16 a 30 años,65.0,65.0,3.0,2,2,0,1,ROBLEDO,ROBLEDO,1
Robledo,Apartamento,Usado,1 a 8 años,65.0,65.0,3.0,2,3,0,18,ROBLEDO,ROBLEDO,3+
San diego,Apartamento,Usado,16 a 30 años,89.0,89.0,4.0,2,2,1,1,SAN DIEGO,SAN DIEGO,1
El Poblado,Apartamento,Usado,1 a 8 años,5200.0,5200.0,4.0,2,2,1,9,EL POBLADO,EL POBLADO,missing
Belén,Casa,Usado,16 a 30 años,160.0,160.0,4.0,2,3,1,1,BELEN,BELEN,1
San javier,Apartamento,Usado,16 a 30 años,43.0,43.0,2.0,1,2,0,2,SAN JAVIER,SAN JAVIER,2
Calasanz,Apartamento,Usado,1 a 8 años,32.0,32.0,4.0,1,1,0,4,CALASANZ,CALASANZ,missing
Los colores,Apartamento,Usado,9 a 15 años,75.0,75.0,5.0,2,2,0,3,LOS COLORES,LOS COLORES,3+
El Poblado,Casa,Usado,16 a 30 años,244.0,244.0,6.0,6,4,2,1,EL POBLADO,EL POBLADO,missing
Laureles,Apartamento,Buen estado,16 a 30 años,95.0,95.0,5.0,2,3,1,8,LAURELES,LAURELES,3+
Conquistadores,Apartamento,Usado,16 a 30 años,56.0,56.0,4.0,2,1,2,2,CONQUISTADORES,CONQUISTADORES,2
San diego,Apartamento,Usado,más de 30 años,106.0,106.0,6.0,1,2,0,1,SAN DIEGO,SAN DIEGO,1
Laureles,Apartaestudio,Usado,16 a 30 años,45.0,45.0,5.0,1,1,1,2,LAURELES,LAURELES,missing
Altos del poblado,Apartamento,Usado,1 a 8 años,148.0,148.0,5.0,3,3,1,5,ALTOS DEL POBLADO,ALTOS DEL POBLADO,missing
Buenos aires,Apartamento,Usado,16 a 30 años,45.0,45.0,5.0,1,2,0,4,BUENOS AIRES,BUENOS AIRES,missing
Colon,Apartamento,Usado,16 a 30 años,68.0,68.0,4.0,2,3,1,5,COLON,COLON,missing
Laureles,Casa,Usado,más de 30 años,365.0,365.0,6.0,4,4,2,1,LAURELES,LAURELES,1
Belén Aliadas,Apartamento,Usado,menor a 1 año,64.0,64.0,4.0,2,2,0,7,BELEN ALIADAS,BELEN ALIADAS,missing
Boston,Apartaestudio,Usado,más de 30 años,25.0,25.0,3.0,1,1,0,2,BOSTON,BOSTON,2
