Barrio,Tipo de Inmueble,Estado,Antigüedad,Área Construida (m2),Área Privada (m2),Estrato,Baños,Habitaciones,Parqueaderos,Piso N°,Barrio_clean,Barrio_group,Piso_cat
Cristo rey,Casa,Usado,1 a 8 años,136.0,136.0,4.0,2,6,0,1,CRISTO REY,CRISTO REY,missing
La candelaria,Apartamento,Usado,9 a 15 años,149.0,149.0,6.0,5,3,2,3,LA CANDELARIA,LA CANDELARIA,missing
El Poblado,Apartamento,Excelente estado,1 a 8 años,112.0,112.0,6.0,2,2,1,12,EL POBLADO,EL POBLADO,missing
La gloria,Apartamento,Usado,1 a 8 años,76.0,76.0,3.0,1,2,0,4,LA GLORIA,LA GLORIA,missing
Manrique,Apartaestudio,Usado,16 a 30 años,30.0,30.0,3.0,1,1,0,2,MANRIQUE,MANRIQUE,2
Bosques de san pablo,Apartamento,Usado,menor a 1 año,50.0,50.0,3.0,1,2,2,4,BOSQUES DE SAN PABLO,BOSQUES DE SAN PABLO,missing
El Poblado,Apartamento,Usado,1 a 8 años,94.0,94.0,6.0,3,2,1,3,EL POBLADO,EL POBLADO,missing
Robledo,Apartamento,Buen estado,16 a 30 años,85.0,85.0,4.0,2,3,1,2,ROBLEDO,ROBLEDO,2
El Poblado,Apartamento,Usado,16 a 30 años,60.0,60.0,5.0,2,1,1,3,EL POBLADO,EL POBLADO,3+
Robledo,Apartaestudio,Usado,1 a 8 años,65.0,65.0,3.0,2,1,0,1,ROBLEDO,ROBLEDO,1
Laureles,Apartamento,Usado,9 a 15 años,190.0,190.0,4.0,2,5,0,1,LAURELES,LAURELES,missing
Calasanz,Apartamento,Usado,1 a 8 años,64.0,64.0,4.0,2,3,1,5,CALASANZ,CALASANZ,3+
Villa hermosa,Apartaestudio,Usado,menor a 1 año,16.0,16.0,3.0,1,1,0,1,VILLA HERMOSA,VILLA HERMOSA,missing
Laureles,Casa,Buen estado,16 a 30 años,200.0,200.0,5.0,4,3,1,1,LAURELES,LAURELES,1
Belen Las Playas,Apartamento,Usado,16 a 30 años,85.0,85.0,3.0,1,3,0,4,BELEN LAS PLAYAS,BELEN LAS PLAYAS,3+
Campo valdes no1,Casa,Usado,16 a 30 años,64.0,64.0,2.0,1,3,0,1,CAMPO VALDES NO1,CAMPO VALDES NO1,missing
El Poblado,Apartamento,Usado,1 a 8 años,116.0,116.0,6.0,3,2,2,4,EL POBLADO,EL POBLADO,missing
Santa fe,Apartamento,Usado,1 a 8 años,100.0,100.0,6.0,2,2,2,11,SANTA FE,SANTA FE,3+
El salvador,Apartaestudio,Usado,más de 30 años,50.0,50.0,3.0,1,1,0,2,EL SALVADOR,EL SALVADOR,2
Santa lucia,Apartaestudio,Buen estado,16 a 30 años,35.0,35.0,4.0,2,1,0,1,SANTA LUCIA,SANTA LUCIA,1
Vía Las Palmas,Apartamento,Usado,1 a 8 años,70.0,70.0,6.0,2,2,1,10,VIA LAS PALMAS,VIA LAS PALMAS,missing
Centro,Apartaestudio,Usado,9 a 15 años,35.0,35.0,4.0,1,1,0,3,CENTRO,CENTRO,missing
Centro,Apartamento,Nuevo,16 a 30 años,110.0,110.0,4.0,2,3,0,8,CENTRO,CENTRO,3+
Belén,Apartamento,Usado,menor a 1 año,116.0,116.0,3.0,4,3,0,3,BELEN,BELEN,missing
Belen Las Playas,Apartamento,Usado,16 a 30 años,108.0,108.0,3.0,2,3,0,5,BELEN LAS PLAYAS,BELEN LAS PLAYAS,missing
Loma del Indio,Apartamento,Buen estado,9 a 15 años,58.0,58.0,4.0,2,2,0,1,LOMA DEL INDIO,LOMA DEL INDIO,1
San diego,Apartamento,Usado,9 a 15 años,75.0,75.0,6.0,2,3,0,18,SAN DIEGO,SAN DIEGO,3+
Villa hermosa,Apartamento,Usado,1 a 8 años,160.0,160.0,3.0,3,5,0,1,VILLA HERMOSA,VILLA HERMOSA,missing
Laureles,Casa,Buen estado,16 a 30 años,120.0,120.0,5.0,2,4,0,1,LAURELES,LAURELES,1
La Almeria,Apartamento,Usado,1 a 8 años,80.0,80.0,5.0,2,3,1,6,LA ALMERIA,LA ALMERIA,missing
Belen La Palma,Apartamento,Usado,9 a 15 años,140.0,140.0,4.0,3,4,1,1,BELEN LA PALMA,BELEN LA PALMA,1
Belén,Apartamento,Usado,16 a 30 años,45.0,45.0,4.0,1,1,0,5,BELEN,BELEN,3+
Altos del poblado,Apartamento,Usado,1 a 8 años,83.0,83.0,6.0,2,2,1,5,ALTOS DEL POBLADO,ALTOS DEL POBLADO,missing
Pajarito,Apartamento,Usado,9 a 15 años,55.0,55.0,3.0,1,3,0,3,PAJARITO,PAJARITO,3+
Aves Maria,Apartaestudio,Usado,Desconocido,40.0,40.0,3.0,1,1,1,1,AVES MARIA,AVES MARIA,1
Laureles,Apartamento,Buen estado,1 a 8 años,85.0,85.0,4.0,2,2,1,2,LAURELES,LAURELES,2
El Poblado,Apartamento,Nuevo,16 a 30 años,171.0,171.0,6.0,2,2,2,15,EL POBLADO,EL POBLADO,3+
Laureles,Apartamento,Usado,16 a 30 años,67.0,67.0,3.0,2,3,0,2,LAURELES,LAURELES,2
Loma De San Julian,Apartamento,Usado,16 a 30 años,94.0,94.0,5.0,2,2,2,9,LOMA DE SAN JULIAN,LOMA DE SAN JULIAN,missing
Simon bolivar,Apartaestudio,Usado,más de 30 años,48.0,48.0,5.0,1,1,0,5,SIMON BOLIVAR,SIMON BOLIVAR,3+
Buenos aires,Casa,Usado,más de 30 años,100.0,100.0,3.0,3,4,0,2,BUENOS AIRES,BUENOS AIRES,2
Centro,Apartamento,Nuevo,16 a 30 años,42.0,42.0,4.0,1,2,0,6,CENTRO,CENTRO,3+
Laureles,Apartamento,Usado,1 a 8 años,66.0,66.0,4.0,3,2,1,8,LAURELES,LAURELES,missing
San diego,Apartamento,Usado,1 a 8 años,77.0,77.0,5.0,2,3,1,18,SAN DIEGO,SAN DIEGO,3+
Ciudad del Río,Apartamento,Usado,1 a 8 años,75.0,75.0,4.0,2,3,1,7,CIUDAD DEL RIO,CIUDAD DEL RIO,missing
El Poblado,Apartamento,Usado,16 a 30 años,58.0,58.0,4.0,2,2,1,7,EL POBLADO,EL POBLADO,missing
La candelaria ,Apartamento,Usado,16 a 30 años,75.0,75.0,5.0,2,2,1,9,LA CANDELARIA,LA CANDELARIA,3+
El Poblado,Apartamento,Usado,16 a 30 años,107.0,107.0,5.0,4,2,1,5,EL POBLADO,EL POBLADO,3+
Calasanz,Apartamento,Usado,9 a 15 años,62.0,62.0,4.0,2,2,1,5,CALASANZ,CALASANZ,missing
El Campestre,Apartamento,Usado,9 a 15 años,280.0,280.0,6.0,6,4,2,1,EL CAMPESTRE,EL CAMPESTRE,missing
Patio bonito,Apartamento,Usado,16 a 30 años,80.0,80.0,6.0,4,3,1,5,PATIO BONITO,PATIO BONITO,missing
Las palmas,Apartamento,Usado,1 a 8 años,73.0,73.0,6.0,2,2,1,10,LAS PALMAS,LAS PALMAS,missing
Laureles,Apartamento,Usado,16 a 30 años,80.0,80.0,5.0,3,2,1,4,LAURELES,LAURELES,3+
El velodromo,Apartamento,Usado,1 a 8 años,58.0,58.0,4.0,1,2,0,5,EL VELODROMO,EL VELODROMO,missing
El Poblado,Apartamento,Usado,16 a 30 años,150.0,150.0,6.0,4,3,1,6,EL POBLADO,EL POBLADO,missing
Buenos aires,Apartamento,Usado,16 a 30 años,45.0,45.0,3.0,1,2,0,15,BUENOS AIRES,BUENOS AIRES,3+
Laureles,Apartamento,Usado,1 a 8 años,134.0,134.0,6.0,4,3,1,3,LAURELES,LAURELES,missing
El Poblado,Apartamento,Usado,1 a 8 años,95.0,95.0,5.0,2,3,2,9,EL POBLADO,EL POBLADO,missing
El Poblado,Apartamento,Usado,16 a 30 años,58.0,58.0,5.0,2,2,1,7,EL POBLADO,EL POBLADO,missing
Belén,Casa,Usado,16 a 30 años,125.0,125.0,5.0,3,3,2,1,BELEN,BELEN,missing
Robledo,Apartamento,Usado,9 a 15 años,78.0,78.0,2.0,2,3,0,3,ROBLEDO,ROBLEDO,3+
La linde,Apartamento,Usado,1 a 8 años,88.0,88.0,4.0,3,2,2,6,LA LINDE,LA LINDE,3+
Belén,Apartamento,Usado,16 a 30 años,76.0,76.0,4.0,2,2,1,6,BELEN,BELEN,3+
Progreso,Apartamento,Usado,16 a 30 años,58.0,58.0,4.0,2,2,0,4,PROGRESO,OTROS,3+
La america,Apartaestudio,Usado,más de 30 años,89.0,89.0,4.0,2,4,0,2,LA AMERICA,LA AMERICA,2
Los Balsos,Apartamento,Usado,1 a 8 años,65.0,65.0,6.0,2,1,1,11,LOS BALSOS,LOS BALSOS,missing
Loma Benedictinos,Apartamento,Usado,16 a 30 años,105.0,105.0,6.0,3,3,1,5,LOMA BENEDICTINOS,OTROS,missing
Los Balsos,Apartamento,Usado,16 a 30 años,100.0,100.0,6.0,3,2,1,10,LOS BALSOS,LOS BALSOS,missing
Aranjuez,Casa,Usado,1 a 8 años,65.0,65.0,3.0,2,4,0,1,ARANJUEZ,ARANJUEZ,missing
Campo valdes no1,Apartamento,Usado,16 a 30 años,50.0,50.0,3.0,1,3,0,3,CAMPO VALDES NO1,CAMPO VALDES NO1,3+
Laureles,Apartamento,Usado,16 a 30 años,65.0,65.0,4.0,2,2,0,5,LAURELES,LAURELES,3+
Buenos aires,Apartaestudio,Usado,más de 30 años,40.0,40.0,3.0,1,1,0,2,BUENOS AIRES,BUENOS AIRES,missing
El Poblado,Apartamento,Usado,9 a 15 años,64.0,64.0,6.0,1,2,0,9,EL POBLADO,EL POBLADO,3+
Loma del Indio,Apartamento,Usado,1 a 8 años,102.4,102.4,6.0,2,3,2,5,LOMA DEL INDIO,LOMA DEL INDIO,missing
Las palmas,Casa,Usado,16 a 30 años,450.0,1000.0,6.0,6,6,3,2,LAS PALMAS,LAS PALMAS,2
Laureles,Apartamento,Buen estado,1 a 8 años,137.0,137.0,5.0,4,3,0,11,LAURELES,LAURELES,3+
Santa fe,Apartamento,Usado,1 a 8 años,65.0,65.0,3.0,2,3,1,9,SANTA FE,SANTA FE,missing
Las palmas,Apartamento,Usado,16 a 30 años,65.0,65.0,4.0,2,2,1,16,LAS PALMAS,LAS PALMAS,3+
Pedregal,Apartamento,Usado,9 a 15 años,4000.0,4000.0,3.0,1,2,0,2,PEDREGAL,OTROS,missing
El Poblado,Apartamento,Usado,1 a 8 años,2594.0,2594.0,6.0,3,3,1,10,EL POBLADO,EL POBLADO,missing
El Poblado,Apartamento,Buen estado,16 a 30 años,120.0,120.0,5.0,3,3,1,1,EL POBLADO,EL POBLADO,1
Calasanz,Apartamento,Usado,1 a 8 años,68.0,68.0,2.0,2,3,1,5,CALASANZ,CALASANZ,missing
El Poblado,Apartamento,Usado,16 a 30 años,135.0,135.0,5.0,2,3,1,10,EL POBLADO,EL POBLADO,3+
Las palmas,Apartamento,Usado,1 a 8 años,60.0,60.0,6.0,2,3,1,10,LAS PALMAS,LAS PALMAS,missing
Laureles,Apartamento,Usado,9 a 15 años,50.0,50.0,5.0,1,2,1,2,LAURELES,LAURELES,2
Belén,Casa,Usado,16 a 30 años,64.0,64.0,4.0,2,2,0,1,BELEN,BELEN,missing
La candelaria,Apartamento,Usado,16 a 30 años,86.4,86.4,3.0,2,3,0,12,LA CANDELARIA,LA CANDELARIA,3+
Conquistadores,Apartaestudio,Usado,1 a 8 años,25.0,25.0,5.0,1,1,0,6,CONQUISTADORES,CONQUISTADORES,3+
Loma de los bernal,Apartamento,Usado,1 a 8 años,76.0,76.0,4.0,2,2,1,15,LOMA DE LOS BERNAL,LOMA DE LOS BERNAL,missing
La pilarica,Apartamento,Usado,menor a 1 año,60.0,60.0,3.0,2,2,0,6,LA PILARICA,LA PILARICA,missing
Rodeo Alto,Apartamento,Nuevo,menor a 1 año,82.0,82.0,4.0,2,3,1,6,RODEO ALTO,RODEO ALTO,missing
Las palmas,Apartamento,Usado,1 a 8 años,74.0,74.0,5.0,2,2,1,9,LAS PALMAS,LAS PALMAS,missing
Calasanz,Apartamento,Usado,1 a 8 años,102.4,102.4,4.0,2,3,1,5,CALASANZ,CALASANZ,missing
Belen La Palma,Casa,Usado,1 a 8 años,160.0,160.0,3.0,3,3,1,1,BELEN LA PALMA,BELEN LA PALMA,1
Asomadera no3,Apartamento,Usado,1 a 8 años,40.0,40.0,3.0,1,2,0,3,ASOMADERA NO3,OTROS,missing
El Poblado,Apartamento,Usado,16 a 30 años,100.0,100.0,6.0,3,4,1,2,EL POBLADO,EL POBLADO,2
Belen La Palma,Apartamento,Usado,1 a 8 años,72.0,72.0,4.0,2,2,1,5,BELEN LA PALMA,BELEN LA PALMA,3+
El Poblado,Apartamento,Usado,9 a 15 años,70.0,70.0,5.0,2,2,1,3,EL POBLADO,EL POBLADO,3+
Loma de los bernal,Casa,Usado,16 a 30 años,124.0,124.0,4.0,3,3,1,1,LOMA DE LOS BERNAL,LOMA DE LOS BERNAL,1
El Poblado,Apartamento,Usado,1 a 8 años,76.0,76.0,6.0,2,3,1,4,EL POBLADO,EL POBLADO,missing
La milagrosa,Apartaestudio,Usado,16 a 30 años,40.0,40.0,2.0,1,1,0,2,LA MILAGROSA,LA MILAGROSA,2
Laureles,Apartamento,Usado,16 a 30 años,69.0,69.0,4.0,2,3,1,9,LAURELES,LAURELES,missing
Loma del Indio,Apartamento,Usado,16 a 30 años,60.0,60.0,4.0,2,3,1,5,LOMA DEL INDIO,LOMA DEL INDIO,3+
Loma del Indio,Apartamento,Nuevo,menor a 1 año,89.0,89.0,4.0,2,3,1,2,LOMA DEL INDIO,LOMA DEL INDIO,missing
El Poblado,Casa,Usado,1 a 8 años,350.0,346.0,6.0,5,4,1,1,EL POBLADO,EL POBLADO,missing
Guayabal,Apartaestudio,Usado,más de 30 años,120.0,120.0,3.0,1,4,0,1,GUAYABAL,GUAYABAL,1
Belen La Palma,Apartamento,Usado,16 a 30 años,60.0,60.0,3.0,1,2,0,2,BELEN LA PALMA,BELEN LA PALMA,2
Vía Las Palmas,Casa,Usado,16 a 30 años,346.0,346.0,6.0,5,4,2,1,VIA LAS PALMAS,VIA LAS PALMAS,1
Loma de los bernal,Apartamento,Usado,1 a 8 años,85.0,85.0,5.0,2,2,1,6,LOMA DE LOS BERNAL,LOMA DE LOS BERNAL,missing
Prado,Casa,Buen estado,16 a 30 años,270.0,270.0,4.0,3,6,1,1,PRADO,PRADO,1
Belén,Apartamento,Usado,16 a 30 años,65.0,65.0,4.0,2,3,0,18,BELEN,BELEN,3+
Loma del Indio,Apartamento,Usado,1 a 8 años,70.0,70.0,4.0,2,2,1,26,LOMA DEL INDIO,LOMA DEL INDIO,3+
Belen La Palma,Apartaestudio,Usado,9 a 15 años,30.0,30.0,3.0,1,1,0,4,BELEN LA PALMA,BELEN LA PALMA,3+
 Robledo,Apartamento,Usado,9 a 15 años,90.0,90.0,2.0,2,3,0,1,ROBLEDO,ROBLEDO,1
Guayabal,Apartaestudio,Buen estado,1 a 8 años,48.0,48.0,4.0,1,1,1,13,GUAYABAL,GUAYABAL,3+
Prado,Casa,Buen estado,más de 30 años,550.0,550.0,4.0,6,19,0,2,PRADO,PRADO,2
El Poblado,Apartamento,Usado,1 a 8 años,56.0,56.0,6.0,2,1,1,3,EL POBLADO,EL POBLADO,missing
Belén,Apartaestudio,Usado,1 a 8 años,40.0,40.0,4.0,1,1,0,2,BELEN,BELEN,missing
La candelaria ,Apartamento,Excelente estado,1 a 8 años,80.0,80.0,2.0,1,3,0,1,LA CANDELARIA,LA CANDELARIA,missing
Santa fe,Apartamento,Usado,1 a 8 años,39.0,39.0,5.0,1,1,2,2,SANTA FE,SANTA FE,missing
El Poblado,Apartamento,Usado,16 a 30 años,78.0,78.0,4.0,2,3,0,5,EL POBLADO,EL POBLADO,missing
Las palmas,Casa,Usado,1 a 8 años,600.0,600.0,6.0,5,4,10,1,LAS PALMAS,LAS PALMAS,1
Robledo,Apartamento,Usado,16 a 30 años,70.0,70.0,4.0,2,2,0,4,ROBLEDO,ROBLEDO,3+
La gloria,Casa,Usado,16 a 30 años,78.0,75.0,4.0,1,3,0,1,LA GLORIA,LA GLORIA,missing
Loma de los bernal,Apartamento,Usado,1 a 8 años,45.0,45.0,4.0,1,2,1,4,LOMA DE LOS BERNAL,LOMA DE LOS BERNAL,missing
Rodeo Alto,Apartamento,Usado,1 a 8 años,52.0,52.0,4.0,2,3,1,4,RODEO ALTO,RODEO ALTO,3+
Belén Rincón,Apartamento,Usado,16 a 30 años,55.0,55.0,4.0,2,2,0,2,BELEN RINCON,BELEN RINCON,2
El Poblado,Apartamento,Usado,1 a 8 años,78.0,78.0,5.0,2,2,1,9,EL POBLADO,EL POBLADO,missing
Rodeo Alto,Apartamento,Usado,1 a 8 años,66.0,66.0,4.0,2,3,1,6,RODEO ALTO,RODEO ALTO,3+
Rodeo Alto,Apartamento,Usado,1 a 8 años,70.0,70.0,3.0,2,3,1,12,RODEO ALTO,RODEO ALTO,3+
Loma del Indio,Apartamento,Usado,1 a 8 años,50.0,50.0,4.0,1,2,1,8,LOMA DEL INDIO,LOMA DEL INDIO,3+
La milagrosa,Apartaestudio,Usado,más de 30 años,45.0,45.0,3.0,1,2,0,1,LA MILAGROSA,LA MILAGROSA,1
San joaquin,Apartamento,Usado,9 a 15 años,80.0,80.0,4.0,3,4,0,2,SAN JOAQUIN,SAN JOAQUIN,missing
Laureles,Apartamento,Buen estado,más de 30 años,204.0,204.0,5.0,3,4,2,1,LAURELES,LAURELES,1
Castropol,Apartamento,Usado,1 a 8 años,80.0,80.0,6.0,2,3,1,11,CASTROPOL,CASTROPOL,3+
Los Balsos,Casa,Usado,9 a 15 años,280.0,280.0,6.0,5,4,2,1,LOS BALSOS,LOS BALSOS,missing
La floresta,Casa,Usado,9 a 15 años,180.0,180.0,5.0,3,3,0,1,LA FLORESTA,LA FLORESTA,1
Los Balsos,Apartamento,Usado,9 a 15 años,140.0,140.0,6.0,3,3,2,5,LOS BALSOS,LOS BALSOS,missing
Laureles,Apartamento,Usado,16 a 30 años,88.0,88.0,6.0,2,3,1,5,LAURELES,LAURELES,3+
El Poblado,Apartamento,Buen estado,16 a 30 años,68.0,68.0,6.0,2,3,1,10,EL POBLADO,EL POBLADO,3+
Laureles,Apartamento,Usado,16 a 30 años,65.0,65.0,5.0,2,3,1,9,LAURELES,LAURELES,missing
Vía Las Palmas,Apartamento,Nuevo,menor a 1 año,78.0,78.0,6.0,2,3,0,5,VIA LAS PALMAS,VIA LAS PALMAS,missing
El Poblado,Apartamento,Usado,1 a 8 años,95.0,95.0,6.0,3,2,2,8,EL POBLADO,EL POBLADO,missing
Calasanz,Apartamento,Usado,16 a 30 años,72.0,72.0,5.0,2,3,1,10,CALASANZ,CALASANZ,missing
El salvador,Apartaestudio,Usado,9 a 15 años,20.0,20.0,3.0,1,1,0,1,EL SALVADOR,EL SALVADOR,missing
Pedregal,Apartamento,Usado,16 a 30 años,6500.0,6500.0,3.0,1,2,0,1,PEDREGAL,OTROS,missing
Las palmas,Apartamento,Usado,1 a 8 años,75.0,75.0,6.0,2,3,1,18,LAS PALMAS,LAS PALMAS,3+
Cristo rey,Apartaestudio,Buen estado,menor a 1 año,50.0,50.0,4.0,2,1,0,2,CRISTO REY,CRISTO REY,2
Buenos aires,Apartamento,Usado,más de 30 años,68.0,68.0,3.0,2,2,0,2,BUENOS AIRES,BUENOS AIRES,2
Prado,Apartaestudio,Usado,1 a 8 años,35.0,35.0,4.0,1,1,0,3,PRADO,PRADO,missing
La milagrosa,Apartamento,Usado,más de 30 años,65.0,65.0,3.0,2,2,0,3,LA MILAGROSA,LA MILAGROSA,3+
El Poblado,Apartamento,Buen estado,16 a 30 años,116.0,116.0,5.0,1,2,2,9,EL POBLADO,EL POBLADO,3+
Calasanz,Apartamento,Usado,16 a 30 años,54.0,54.0,3.0,2,3,1,6,CALASANZ,CALASANZ,missing
Belén,Apartamento,Usado,menor a 1 año,80.0,80.0,5.0,2,3,0,2,BELEN,BELEN,2
Bombona no1,Apartamento,Usado,menor a 1 año,40.0,40.0,4.0,1,2,0,3,BOMBONA NO1,BOMBONA NO1,missing
Patio bonito,Apartamento,Usado,16 a 30 años,220.0,220.0,6.0,4,4,1,2,PATIO BONITO,PATIO BONITO,missing
Laureles,Apartamento,Usado,16 a 30 años,74.0,71.0,5.0,2,2,1,11,LAURELES,LAURELES,missing
Loma del Indio,Apartamento,Usado,1 a 8 años,60.0,60.0,4.0,2,2,1,6,LOMA DEL INDIO,LOMA DEL INDIO,missing
Belén,Casa,Usado,16 a 30 años,220.0,220.0,5.0,3,4,2,1,BELEN,BELEN,missing
San german,Apartamento,Usado,1 a 8 años,102.4,102.4,5.0,2,3,1,5,SAN GERMAN,SAN GERMAN,missing
La candelaria,Apartaestudio,Usado,más de 30 años,37.0,37.0,3.0,1,1,0,14,LA CANDELARIA,LA CANDELARIA,3+
Laureles,Apartamento,Usado,16 a 30 años,85.0,85.0,4.0,2,2,1,6,LAURELES,LAURELES,missing
Provenza,Apartamento,Usado,1 a 8 años,180.0,180.0,5.0,6,3,2,11,PROVENZA,PROVENZA,missing
La castellana,Apartaestudio,Usado,16 a 30 años,60.0,60.0,5.0,1,1,1,1,LA CASTELLANA,LA CASTELLANA,1
Loma del Indio,Apartamento,Usado,1 a 8 años,105.0,105.0,6.0,3,3,2,5,LOMA DEL INDIO,LOMA DEL INDIO,missing
Calasanz,Apartamento,Usado,9 a 15 años,60.0,60.0,3.0,2,2,0,6,CALASANZ,CALASANZ,missing
Laureles,Apartamento,Usado,menor a 1 año,60.0,60.0,5.0,2,2,1,6,LAURELES,LAURELES,missing
Loma De San Julian,Apartamento,Usado,9 a 15 años,95.0,95.0,5.0,2,2,2,11,LOMA DE SAN JULIAN,LOMA DE SAN JULIAN,missing
Belén San Bernardo,Apartamento,Usado,16 a 30 años,90.0,90.0,3.0,2,3,1,4,BELEN SAN BERNARDO,BELEN SAN BERNARDO,missing
Los Balsos,Apartamento,Usado,1 a 8 años,100.0,100.0,5.0,3,2,2,10,LOS BALSOS,LOS BALSOS,missing
Belén,Apartamento,Usado,9 a 15 años,120.0,120.0,4.0,3,3,1,2,BELEN,BELEN,missing
Loma del Indio,Apartamento,Usado,16 a 30 años,150.0,150.0,4.0,2,3,2,4,LOMA DEL INDIO,LOMA DEL INDIO,3+
El Poblado,Apartamento,Buen estado,1 a 8 años,125.0,125.0,6.0,2,2,2,11,EL POBLADO,EL POBLADO,3+
Provenza,Apartamento,Usado,1 a 8 años,100.0,100.0,6.0,2,1,2,4,PROVENZA,PROVENZA,missing
El Poblado,Apartamento,Usado,9 a 15 años,65.0,65.0,6.0,2,1,0,11,EL POBLADO,EL POBLADO,missing
Las granjas,Apartamento,Usado,1 a 8 años,60.0,60.0,3.0,1,3,0,1,LAS GRANJAS,LAS GRANJAS,1
Calasanz parte alta,Apartamento,Usado,1 a 8 años,6000.0,6000.0,4.0,2,2,1,9,CALASANZ PARTE ALTA,CALASANZ PARTE ALTA,missing
San diego,Apartamento,Usado,1 a 8 años,73.0,73.0,6.0,2,2,2,10,SAN DIEGO,SAN DIEGO,missing
Manrique,Apartaestudio,Usado,1 a 8 años,28.0,28.0,3.0,1,1,0,2,MANRIQUE,MANRIQUE,2
Laureles ,Apartamento,Usado,1 a 8 años,112.0,112.0,5.0,4,4,1,4,LAURELES,LAURELES,3+
El tesoro,Apartamento,Usado,9 a 15 años,115.0,115.0,6.0,3,2,2,6,EL TESORO,EL TESORO,3+
El Poblado,Apartamento,Usado,9 a 15 años,70.0,70.0,5.0,2,3,1,4,EL POBLADO,EL POBLADO,3+
Simon bolivar,Apartamento,Nuevo,menor a 1 año,100.0,100.0,5.0,2,3,0,7,SIMON BOLIVAR,SIMON BOLIVAR,missing
Belen La Palma,Apartaestudio,Usado,menor a 1 año,40.0,40.0,5.0,1,1,0,2,BELEN LA PALMA,BELEN LA PALMA,missing
Loma de los Gonzalez,Apartamento,Usado,1 a 8 años,96.0,96.0,6.0,3,3,2,18,LOMA DE LOS GONZALEZ,LOMA DE LOS GONZALEZ,3+
El Poblado,Apartamento,Usado,16 a 30 años,90.0,90.0,6.0,2,2,2,2,EL POBLADO,EL POBLADO,2
Vía Las Palmas,Apartamento,Buen estado,9 a 15 años,76.0,76.0,6.0,2,2,1,2,VIA LAS PALMAS,VIA LAS PALMAS,2
El Poblado,Apartamento,Usado,16 a 30 años,158.0,158.0,5.0,4,3,2,15,EL POBLADO,EL POBLADO,3+
Laureles,Apartamento,Usado,9 a 15 años,90.0,90.0,5.0,2,3,1,4,LAURELES,LAURELES,missing
Laureles,Apartamento,Usado,16 a 30 años,63.0,63.0,5.0,2,2,0,2,LAURELES,LAURELES,2
Belen Las Playas,Casa,Usado,16 a 30 años,90.0,90.0,3.0,2,4,0,2,BELEN LAS PLAYAS,BELEN LAS PLAYAS,2
Las palmas,Apartamento,Usado,1 a 8 años,148.0,148.0,6.0,2,3,1,5,LAS PALMAS,LAS PALMAS,missing
Belén,Apartamento,Usado,16 a 30 años,60.0,60.0,4.0,1,2,0,3,BELEN,BELEN,3+
Campo amor,Apartamento,Usado,16 a 30 años,80.0,80.0,3.0,2,3,0,6,CAMPO AMOR,CAMPO AMOR,missing
El Poblado,Apartamento,Usado,más de 30 años,77.0,77.0,6.0,2,3,0,6,EL POBLADO,EL POBLADO,3+
El Poblado,Apartamento,Usado,16 a 30 años,68.0,68.0,4.0,2,2,1,1,EL POBLADO,EL POBLADO,1
Laureles,Casa,Usado,16 a 30 años,241.0,241.0,4.0,3,3,0,2,LAURELES,LAURELES,2
Calasanz,Apartamento,Usado,1 a 8 años,40.0,40.0,3.0,1,2,0,3,CALASANZ,CALASANZ,missing
San diego,Apartamento,Usado,menor a 1 año,64.0,64.0,5.0,2,3,1,5,SAN DIEGO,SAN DIEGO,missing
El Poblado,Apartamento,Usado,16 a 30 años,65.0,65.0,5.0,2,3,1,6,EL POBLADO,EL POBLADO,3+
El Poblado,Apartamento,Usado,1 a 8 años,92.0,92.0,6.0,2,3,2,10,EL POBLADO,EL POBLADO,3+
Milla de Oro,Apartamento,Usado,1 a 8 años,226.0,226.0,6.0,5,4,3,1,MILLA DE ORO,MILLA DE ORO,missing
La frontera,Apartamento,Usado,9 a 15 años,128.0,128.0,6.0,5,4,2,2,LA FRONTERA,LA FRONTERA,missing
Santa fe,Casa,Usado,9 a 15 años,128.0,128.0,4.0,2,5,0,1,SANTA FE,SANTA FE,missing
San joaquin,Apartamento,Nuevo,menor a 1 año,83.0,83.0,5.0,2,3,0,7,SAN JOAQUIN,SAN JOAQUIN,missing
Guayabal,Apartamento,Usado,1 a 8 años,73.0,73.0,5.0,2,2,1,10,GUAYABAL,GUAYABAL,missing
San diego,Apartamento,Usado,1 a 8 años,60.0,60.0,3.0,2,2,1,21,SAN DIEGO,SAN DIEGO,3+
El Poblado,Apartamento,Usado,16 a 30 años,42.0,42.0,4.0,1,2,1,2,EL POBLADO,EL POBLADO,missing
Florida nueva,Apartamento,Usado,16 a 30 años,37.0,37.0,4.0,2,2,0,1,FLORIDA NUEVA,FLORIDA NUEVA,1
San diego,Apartamento,Usado,1 a 8 años,102.4,102.4,6.0,2,3,1,5,SAN DIEGO,SAN DIEGO,missing
Laureles,Apartaestudio,Usado,16 a 30 años,40.0,40.0,4.0,1,1,0,2,LAURELES,LAURELES,missing
Belén San Bernardo,Apartaestudio,Usado,16 a 30 años,15.0,15.0,3.0,1,1,0,2,BELEN SAN BERNARDO,BELEN SAN BERNARDO,2
Belen La Palma,Casa,Usado,1 a 8 años,300.0,300.0,5.0,3,4,2,1,BELEN LA PALMA,BELEN LA PALMA,missing
